date,fjoldi,eigandi,tegund,value
1994,Sem eiga eina íbúð,Einstaklingar,hlutf,72.1
1994,Sem eiga eina íbúð,Lögaðilar,hlutf,1
1994,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,18.7
1994,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,8.1
1994,Sem eiga eina íbúð,Einstaklingar,fjoldi,68272
1994,Sem eiga eina íbúð,Lögaðilar,fjoldi,949
1994,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,17721
1994,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,7687
1995,Sem eiga eina íbúð,Einstaklingar,hlutf,71.8
1995,Sem eiga eina íbúð,Lögaðilar,hlutf,1
1995,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,18.6
1995,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,8.5
1995,Sem eiga eina íbúð,Einstaklingar,fjoldi,69076
1995,Sem eiga eina íbúð,Lögaðilar,fjoldi,956
1995,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,17931
1995,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,8188
1996,Sem eiga eina íbúð,Einstaklingar,hlutf,71.7
1996,Sem eiga eina íbúð,Lögaðilar,hlutf,1
1996,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,18.4
1996,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,8.9
1996,Sem eiga eina íbúð,Einstaklingar,fjoldi,70213
1996,Sem eiga eina íbúð,Lögaðilar,fjoldi,985
1996,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,18041
1996,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,8670
1997,Sem eiga eina íbúð,Einstaklingar,hlutf,72.2
1997,Sem eiga eina íbúð,Lögaðilar,hlutf,1
1997,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,17.9
1997,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,8.8
1997,Sem eiga eina íbúð,Einstaklingar,fjoldi,71653
1997,Sem eiga eina íbúð,Lögaðilar,fjoldi,1014
1997,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,17778
1997,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,8781
1998,Sem eiga eina íbúð,Einstaklingar,hlutf,72.8
1998,Sem eiga eina íbúð,Lögaðilar,hlutf,1
1998,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,17.3
1998,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,8.8
1998,Sem eiga eina íbúð,Einstaklingar,fjoldi,73410
1998,Sem eiga eina íbúð,Lögaðilar,fjoldi,1031
1998,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,17449
1998,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,8912
1999,Sem eiga eina íbúð,Einstaklingar,hlutf,73.7
1999,Sem eiga eina íbúð,Lögaðilar,hlutf,1
1999,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,16.5
1999,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,8.8
1999,Sem eiga eina íbúð,Einstaklingar,fjoldi,75269
1999,Sem eiga eina íbúð,Lögaðilar,fjoldi,1070
1999,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,16855
1999,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,8947
2000,Sem eiga eina íbúð,Einstaklingar,hlutf,73.8
2000,Sem eiga eina íbúð,Lögaðilar,hlutf,1
2000,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,16.3
2000,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,8.8
2000,Sem eiga eina íbúð,Einstaklingar,fjoldi,76444
2000,Sem eiga eina íbúð,Lögaðilar,fjoldi,1061
2000,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,16875
2000,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,9153
2001,Sem eiga eina íbúð,Einstaklingar,hlutf,73.7
2001,Sem eiga eina íbúð,Lögaðilar,hlutf,1
2001,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,16.2
2001,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,9.1
2001,Sem eiga eina íbúð,Einstaklingar,fjoldi,77528
2001,Sem eiga eina íbúð,Lögaðilar,fjoldi,1094
2001,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,17098
2001,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,9538
2002,Sem eiga eina íbúð,Einstaklingar,hlutf,73.5
2002,Sem eiga eina íbúð,Lögaðilar,hlutf,1
2002,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,16.1
2002,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,9.4
2002,Sem eiga eina íbúð,Einstaklingar,fjoldi,78861
2002,Sem eiga eina íbúð,Lögaðilar,fjoldi,1095
2002,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,17282
2002,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,10053
2003,Sem eiga eina íbúð,Einstaklingar,hlutf,72.9
2003,Sem eiga eina íbúð,Lögaðilar,hlutf,1
2003,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,16.1
2003,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,10
2003,Sem eiga eina íbúð,Einstaklingar,fjoldi,80034
2003,Sem eiga eina íbúð,Lögaðilar,fjoldi,1124
2003,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,17633
2003,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,10924
2004,Sem eiga eina íbúð,Einstaklingar,hlutf,72.6
2004,Sem eiga eina íbúð,Lögaðilar,hlutf,1.1
2004,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,16.2
2004,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,10.1
